,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,main_artist,artist_id,song
0,0.777,0.7,1.0,-11.045,1.0,0.0869,0.235,8.02e-06,0.836,0.802,122.94,audio_features,6X4JeTWCuKEzKOEHXDtyBo,spotify:track:6X4JeTWCuKEzKOEHXDtyBo,https://api.spotify.com/v1/tracks/6X4JeTWCuKEzKOEHXDtyBo,https://api.spotify.com/v1/audio-analysis/6X4JeTWCuKEzKOEHXDtyBo,188613.0,4.0,Prince,5a2EaR3hamoenG9rDuVn8j,Little Red Corvette - Single Version
1,0.326,0.797,2.0,-2.359,1.0,0.0334,0.0522,0.0,0.081,0.271,135.937,audio_features,4AfsbRvvuN7nEHAhONdeEp,spotify:track:4AfsbRvvuN7nEHAhONdeEp,https://api.spotify.com/v1/tracks/4AfsbRvvuN7nEHAhONdeEp,https://api.spotify.com/v1/audio-analysis/4AfsbRvvuN7nEHAhONdeEp,288933.0,4.0,Bon Jovi,58lV9VcRSjABbAbfWS6skp,Never Say Goodbye
2,0.709,0.824,1.0,-8.824,1.0,0.0453,0.207,0.000307,0.0888,0.867,118.818,audio_features,2tUBqZG2AbRi7Q0BIrVrEj,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj,https://api.spotify.com/v1/audio-analysis/2tUBqZG2AbRi7Q0BIrVrEj,291293.0,4.0,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,I Wanna Dance with Somebody (Who Loves Me)
3,0.768,0.716,2.0,-12.922,1.0,0.0625,0.0658,0.00213,0.0379,0.961,157.935,audio_features,6QG0wcgoCsa9pqFyTg0rRO,spotify:track:6QG0wcgoCsa9pqFyTg0rRO,https://api.spotify.com/v1/tracks/6QG0wcgoCsa9pqFyTg0rRO,https://api.spotify.com/v1/audio-analysis/6QG0wcgoCsa9pqFyTg0rRO,158107.0,4.0,DEVO,0UKfenbZb15sqhfPC6zbt3,Whip It
4,0.66,0.806,2.0,-8.01,1.0,0.0324,0.00332,1.4e-05,0.0986,0.944,122.041,audio_features,3pecdrUzTZjaqrw6iCLTvd,spotify:track:3pecdrUzTZjaqrw6iCLTvd,https://api.spotify.com/v1/tracks/3pecdrUzTZjaqrw6iCLTvd,https://api.spotify.com/v1/audio-analysis/3pecdrUzTZjaqrw6iCLTvd,253253.0,4.0,Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,Heart And Soul
5,0.653,0.766,0.0,-8.078,1.0,0.0261,0.000464,0.00206,0.103,0.396,125.113,audio_features,0f9h8awV1X4jSllHXXYdfX,spotify:track:0f9h8awV1X4jSllHXXYdfX,https://api.spotify.com/v1/tracks/0f9h8awV1X4jSllHXXYdfX,https://api.spotify.com/v1/audio-analysis/0f9h8awV1X4jSllHXXYdfX,251947.0,4.0,ZZ Top,2AM4ilv6UzW0uMRuqKtDgN,Sharp Dressed Man
6,0.575,0.643,2.0,-8.854,0.0,0.0331,0.136,1.65e-06,0.249,0.789,152.854,audio_features,5WDLRQ3VCdVrKw0njWe5E5,spotify:track:5WDLRQ3VCdVrKw0njWe5E5,https://api.spotify.com/v1/tracks/5WDLRQ3VCdVrKw0njWe5E5,https://api.spotify.com/v1/audio-analysis/5WDLRQ3VCdVrKw0njWe5E5,300107.0,4.0,George Michael,19ra5tSw0tWufvUp8GotLo,Careless Whisper
7,0.66,0.389,2.0,-11.271,1.0,0.027,0.187,0.0131,0.0779,0.841,99.705,audio_features,1auuYcOrua5hrsGCS7idun,spotify:track:1auuYcOrua5hrsGCS7idun,https://api.spotify.com/v1/tracks/1auuYcOrua5hrsGCS7idun,https://api.spotify.com/v1/audio-analysis/1auuYcOrua5hrsGCS7idun,302893.0,4.0,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,Take Me to the River
8,0.869,0.68,1.0,-6.233,1.0,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,audio_features,75IN3CtuZwTHTnZvYM4qnJ,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,https://api.spotify.com/v1/tracks/75IN3CtuZwTHTnZvYM4qnJ,https://api.spotify.com/v1/audio-analysis/75IN3CtuZwTHTnZvYM4qnJ,268400.0,4.0,Eminem,7dGJo4pcD2V6oG8kP0tJRR,My Name Is
9,0.701,0.803,5.0,-6.786,0.0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,audio_features,4W4wYHtsrgDiivRASVOINL,spotify:track:4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,320680.0,4.0,The B-52's,3gdbcIdNypBsYNu3iiCjtN,Love Shack
